timestamp,eng_unit,acc_unit,simulated,tow,mag_x,mag_y,mag_z,amqp_topic
2025-11-18 21:38:24.024087,Microteslas,,false,2147483648,106,-363,-66,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:24.121921,Microteslas,,false,2147483648,102,-365,-68,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:24.186651,Microteslas,,false,2147483648,99,-368,-66,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:24.266968,Microteslas,,false,2147483648,96,-372,-70,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:24.346706,Microteslas,,false,2147483648,96,-371,-66,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:24.427571,Microteslas,,false,2147483648,97,-371,-70,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:24.525115,Microteslas,,false,2147483648,96,-370,-70,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:24.589613,Microteslas,,false,2147483648,96,-370,-69,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:24.670047,Microteslas,,false,2147483648,94,-372,-69,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:24.750850,Microteslas,,false,2147483648,94,-372,-69,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:24.831620,Microteslas,,false,2147483648,89,-374,-66,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:24.921588,Microteslas,,false,2147483648,85,-376,-68,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:24.992486,Microteslas,,false,2147483648,80,-375,-70,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:25.076905,Microteslas,,false,2147483648,79,-377,-68,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:25.155819,Microteslas,,false,2147483648,73,-378,-69,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:25.234603,Microteslas,,false,2147483648,62,-378,-73,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:25.326148,Microteslas,,false,2147483648,49,-378,-81,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:25.397137,Microteslas,,false,2147483648,44,-377,-81,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:25.476498,Microteslas,,false,2147483648,42,-378,-81,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:25.555963,Microteslas,,false,2147483648,36,-377,-80,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:25.637115,Microteslas,,false,2147483648,29,-378,-78,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:25.720849,Microteslas,,false,2147483648,15,-378,-78,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:25.802634,Microteslas,,false,2147483648,12,-381,-84,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:25.879217,Microteslas,,false,2147483648,20,-385,-81,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:25.958890,Microteslas,,false,2147483648,15,-384,-82,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:26.039796,Microteslas,,false,2147483648,18,-387,-83,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:26.120088,Microteslas,,false,2147483648,19,-385,-84,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:26.200964,Microteslas,,false,2147483648,21,-385,-83,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:26.281567,Microteslas,,false,2147483648,19,-386,-85,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:26.362275,Microteslas,,false,2147483648,21,-386,-83,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:26.443198,Microteslas,,false,2147483648,19,-387,-83,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:26.527105,Microteslas,,false,2147483648,18,-386,-83,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:26.604025,Microteslas,,false,2147483648,21,-386,-83,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:26.686486,Microteslas,,false,2147483648,22,-385,-84,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:26.765440,Microteslas,,false,2147483648,18,-386,-84,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:26.845953,Microteslas,,false,2147483648,18,-387,-84,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:26.926505,Microteslas,,false,2147483648,18,-385,-84,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:27.017948,Microteslas,,false,2147483648,19,-386,-81,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:27.088803,Microteslas,,false,2147483648,19,-386,-83,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:27.168288,Microteslas,,false,2147483648,19,-386,-82,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:27.249258,Microteslas,,false,2147483648,18,-386,-82,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:27.330320,Microteslas,,false,2147483648,15,-386,-82,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:27.422060,Microteslas,,false,2147483648,15,-383,-83,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:27.492121,Microteslas,,false,2147483648,9,-384,-79,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:27.572499,Microteslas,,false,2147483648,-7,-381,-71,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:27.653072,Microteslas,,false,2147483648,-13,-381,-72,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:27.732912,Microteslas,,false,2147483648,-23,-380,-72,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:27.814692,Microteslas,,false,2147483648,-27,-379,-68,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:27.894987,Microteslas,,false,2147483648,-35,-372,-63,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:27.975632,Microteslas,,false,2147483648,-43,-368,-55,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:28.056450,Microteslas,,false,2147483648,-60,-363,-50,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:28.136965,Microteslas,,false,2147483648,-71,-356,-39,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:28.221630,Microteslas,,false,2147483648,-88,-347,-35,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:28.297298,Microteslas,,false,2147483648,-99,-335,-37,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:28.378994,Microteslas,,false,2147483648,-119,-321,-19,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:28.459733,Microteslas,,false,2147483648,-130,-310,-6,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:28.539981,Microteslas,,false,2147483648,-142,-300,4,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:28.621281,Microteslas,,false,2147483648,-148,-295,12,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:28.701314,Microteslas,,false,2147483648,-153,-287,25,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:28.780844,Microteslas,,false,2147483648,-152,-284,36,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:28.862506,Microteslas,,false,2147483648,-154,-275,51,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:28.942154,Microteslas,,false,2147483648,-151,-267,66,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:29.025791,Microteslas,,false,2147483648,-151,-263,77,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:29.114827,Microteslas,,false,2147483648,-150,-256,89,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:29.184063,Microteslas,,false,2147483648,-144,-249,104,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:29.265652,Microteslas,,false,2147483648,-134,-238,120,NAV.nav0.MAG_CALIBRATED
2025-11-18 21:38:29.346199,Microteslas,,false,2147483648,-128,-233,130,NAV.nav0.MAG_CALIBRATED
